2022-11-13 00:48:21 status unpacked pkg-config:amd64 0.29.1-0ubuntu2
2022-11-13 00:48:21 status unpacked pkg-config:amd64 0.29.1-0ubuntu2
2022-11-13 00:48:21 install golang-race-detector-runtime:amd64 <none> 2:1.10~4ubuntu1
2022-11-13 00:48:21 status half-installed golang-race-detector-runtime:amd64 2:1.10~4ubuntu1
2022-11-13 00:48:21 status unpacked golang-race-detector-runtime:amd64 2:1.10~4ubuntu1
2022-11-13 00:48:21 status unpacked golang-race-detector-runtime:amd64 2:1.10~4ubuntu1
2022-11-13 00:48:22 startup packages configure
2022-11-13 00:48:22 configure libquadmath0:amd64 8.4.0-1ubuntu1~18.04 <none>
2022-11-13 00:48:22 status unpacked libquadmath0:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:22 status half-configured libquadmath0:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:22 status installed libquadmath0:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:22 configure golang-1.10-race-detector-runtime:amd64 0.0+svn285455-0ubuntu1 <none>
2022-11-13 00:48:22 status unpacked golang-1.10-race-detector-runtime:amd64 0.0+svn285455-0ubuntu1
2022-11-13 00:48:22 status half-configured golang-1.10-race-detector-runtime:amd64 0.0+svn285455-0ubuntu1
2022-11-13 00:48:22 status installed golang-1.10-race-detector-runtime:amd64 0.0+svn285455-0ubuntu1
2022-11-13 00:48:22 configure libgomp1:amd64 8.4.0-1ubuntu1~18.04 <none>
2022-11-13 00:48:22 status unpacked libgomp1:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:22 status half-configured libgomp1:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:22 status installed libgomp1:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:22 configure libatomic1:amd64 8.4.0-1ubuntu1~18.04 <none>
2022-11-13 00:48:22 status unpacked libatomic1:amd64 8.4.0-1ubuntu1~18.04
